IRIS_CODE;POPULATION_ACTIVE;Elèv.Etud.Stag.non_rémunérés_15-64_ans;Retraités_ou_Pré__15-64_ans;Autres_inactifs_15-64_ans;CSP+;CSP-;Actifs_occ_15_ans_ou_plus_voiture;Actifs_occ_15_ans_ou_plus_TC;0-2_ans;3-5_ans;6-10_ans;11-17_ans;18-24_ans;25-39_ans;40-54_ans;55-64_ans;65-79_ans;80_ans_et_+;Enseignement_sup;Sans_diplôme_ou_CEP_ou_BEPC;CAP_BEP_BAC_PRO;Men_1_personne_;Men_Autres_sans_famille_;Men_fam_princ_Couple_sans_enfant_;Men_fam_princ_Couple_avec_enfants_;Men_fam_princ_Famille_mono_;Fam_Couple_avec_enfants_;Fam_Monoparentales_;Fam_Couple_sans_enfant_
950181003;0.82;0.36;0.2;0.44;0.5;0.5;0.54;0.37;0.04;0.04;0.07;0.09;0.08;0.2;0.23;0.13;0.08;0.04;0.27;0.32;0.41;0.33;0.02;0.27;0.53;0.19;0.52;0.19;0.28
751145621;0.82;0.66;0.18;0.16;0.76;0.24;0.08;0.71;0.03;0.02;0.03;0.05;0.16;0.3;0.16;0.12;0.1;0.03;0.65;0.15;0.2;0.56;0.06;0.43;0.31;0.26;0.3;0.27;0.43
920250212;0.83;0.57;0.13;0.29;0.71;0.29;0.27;0.52;0.04;0.04;0.06;0.07;0.08;0.26;0.22;0.11;0.07;0.04;0.45;0.24;0.31;0.4;0.03;0.38;0.47;0.14;0.47;0.15;0.38
773370203;0.77;0.51;0.14;0.35;0.4;0.6;0.3;0.58;0.05;0.06;0.05;0.09;0.14;0.22;0.16;0.14;0.09;0;0.27;0.4;0.33;0.29;0.03;0.26;0.5;0.24;0.49;0.25;0.26
940710101;0.76;0.59;0.27;0.15;0.73;0.27;0.55;0.33;0.03;0.03;0.07;0.11;0.08;0.13;0.23;0.13;0.13;0.05;0.43;0.23;0.34;0.22;0.01;0.35;0.53;0.12;0.52;0.13;0.35
940550103;0.78;0.45;0.31;0.24;0.59;0.41;0.71;0.19;0.03;0.03;0.06;0.09;0.08;0.14;0.23;0.15;0.15;0.06;0.29;0.36;0.35;0.19;0.01;0.43;0.5;0.07;0.49;0.08;0.43
920710104;0.66;0.77;0.06;0.17;0.88;0.12;0.42;0.42;0.03;0.02;0.04;0.09;0.18;0.09;0.2;0.13;0.13;0.1;0.77;0.07;0.16;0.27;0.03;0.44;0.49;0.08;0.48;0.08;0.43
751166125;0.76;0.63;0.14;0.23;0.75;0.24;0.29;0.52;0.02;0.03;0.05;0.06;0.1;0.15;0.21;0.1;0.16;0.11;0.72;0.12;0.16;0.51;0.04;0.44;0.46;0.11;0.46;0.11;0.44
751207703;0.75;0.49;0.07;0.44;0.56;0.44;0.09;0.69;0.03;0.03;0.06;0.1;0.09;0.22;0.2;0.13;0.11;0.02;0.39;0.31;0.3;0.5;0.04;0.27;0.45;0.28;0.44;0.29;0.26
920500203;0.76;0.44;0.25;0.31;0.63;0.37;0.52;0.31;0.02;0.03;0.07;0.12;0.08;0.15;0.25;0.13;0.12;0.02;0.38;0.27;0.35;0.32;0;0.23;0.64;0.13;0.63;0.14;0.23
940171401;0.7;0.38;0.13;0.49;0.41;0.59;0.52;0.37;0.07;0.05;0.09;0.11;0.08;0.19;0.2;0.11;0.09;0.02;0.25;0.35;0.4;0.27;0.02;0.28;0.52;0.21;0.51;0.22;0.27
770140103;0.82;0.5;0.3;0.21;0.72;0.28;0.46;0.41;0.03;0.03;0.03;0.06;0.06;0.19;0.19;0.12;0.17;0.12;0.51;0.2;0.29;0.55;0.02;0.58;0.26;0.16;0.26;0.16;0.58
751020703;0.86;0.61;0.03;0.36;0.84;0.16;0.05;0.6;0.03;0.02;0.04;0.06;0.09;0.35;0.24;0.09;0.06;0.01;0.78;0.07;0.15;0.55;0.03;0.49;0.34;0.17;0.33;0.17;0.5
751207906;0.8;0.35;0.12;0.53;0.67;0.33;0.09;0.79;0.03;0.02;0.04;0.06;0.07;0.2;0.23;0.13;0.12;0.09;0.42;0.32;0.26;0.61;0.03;0.3;0.38;0.32;0.38;0.32;0.3
920400102;0.76;0.66;0.11;0.23;0.86;0.14;0.18;0.51;0.04;0.04;0.05;0.07;0.11;0.2;0.19;0.09;0.15;0.06;0.76;0.08;0.16;0.3;0.04;0.41;0.48;0.11;0.49;0.1;0.41
912160103;0.79;0.62;0.19;0.19;0.58;0.42;0.6;0.29;0.04;0.03;0.06;0.12;0.09;0.17;0.23;0.11;0.1;0.07;0.37;0.27;0.36;0.24;0.02;0.32;0.51;0.18;0.5;0.18;0.32
930310501;0.78;0.3;0.09;0.62;0.32;0.68;0.33;0.58;0.05;0.05;0.09;0.08;0.05;0.26;0.2;0.08;0.1;0.04;0.2;0.45;0.36;0.34;0.06;0.29;0.45;0.27;0.44;0.27;0.29
